grid_id,total_species,type1_freq,type2_freq,type3_freq,type4_freq,type5_freq,type6_freq,lat_range,lon_range
1103,5,0.2,0,0,0.2,0.4,0.2,23.99 - 24.81,110.41 - 111.31
1104,2,0,0,0,0,1,0,23.99 - 24.81,111.31 - 112.2
1105,3,0,0,0,0,1,0,23.99 - 24.81,112.2 - 113.1
1106,5,0.2,0,0,0,0.8,0,23.99 - 24.81,113.1 - 114
1107,1,0,0,0,0,1,0,23.99 - 24.81,114 - 114.9
1108,1,0,0,0,0,1,0,23.99 - 24.81,114.9 - 115.8
1109,2,0,0,0,0,1,0,23.99 - 24.81,115.8 - 116.7
1110,5,0.4,0.2,0,0,0.4,0,23.99 - 24.81,116.7 - 117.59
1111,1,0,0,0,0,1,0,23.99 - 24.81,117.59 - 118.49
1114,3,0.666666666666667,0,0,0,0,0.333333333333333,23.99 - 24.81,120.29 - 121.19
1115,4,0.5,0,0,0,0.25,0.25,23.99 - 24.81,121.19 - 122.09
1482,1,1,0,0,0,0,0,24.81 - 25.63,97.83 - 98.73
1483,2,1,0,0,0,0,0,24.81 - 25.63,98.73 - 99.63
1484,11,0.363636363636364,0.363636363636364,0,0.181818181818182,0,0.0909090909090909,24.81 - 25.63,99.63 - 100.53
1486,2,0.5,0,0,0,0.5,0,24.81 - 25.63,101.42 - 102.32
1487,12,0.25,0.5,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,24.81 - 25.63,102.32 - 103.22
1488,4,0.25,0.25,0,0,0.25,0.25,24.81 - 25.63,103.22 - 104.12
1489,3,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,24.81 - 25.63,104.12 - 105.02
1490,4,0.25,0.25,0,0.25,0,0.25,24.81 - 25.63,105.02 - 105.92
1491,1,1,0,0,0,0,0,24.81 - 25.63,105.92 - 106.81
1492,2,0.5,0,0,0,0.5,0,24.81 - 25.63,106.81 - 107.71
1493,6,0.166666666666667,0,0,0.5,0.333333333333333,0,24.81 - 25.63,107.71 - 108.61
1494,5,0.2,0,0,0.2,0.6,0,24.81 - 25.63,108.61 - 109.51
1495,5,0.2,0,0,0.2,0.6,0,24.81 - 25.63,109.51 - 110.41
1496,5,0.2,0,0,0.2,0.6,0,24.81 - 25.63,110.41 - 111.31
1497,2,0.5,0,0,0,0.5,0,24.81 - 25.63,111.31 - 112.2
1498,3,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,24.81 - 25.63,112.2 - 113.1
1499,5,0.2,0,0,0.2,0.6,0,24.81 - 25.63,113.1 - 114
1500,3,0.333333333333333,0,0,0,0.666666666666667,0,24.81 - 25.63,114 - 114.9
1501,4,0.25,0,0,0,0.75,0,24.81 - 25.63,114.9 - 115.8
1503,2,0,0,0,0,0.5,0.5,24.81 - 25.63,116.7 - 117.59
1504,3,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,24.81 - 25.63,117.59 - 118.49
1505,1,0,0,0,0,1,0,24.81 - 25.63,118.49 - 119.39
1508,2,0.5,0,0,0,0,0.5,24.81 - 25.63,121.19 - 122.09
1875,2,0.5,0.5,0,0,0,0,25.63 - 26.43,97.83 - 98.73
1876,7,0.428571428571429,0.142857142857143,0,0.285714285714286,0.142857142857143,0,25.63 - 26.43,98.73 - 99.63
1877,12,0.333333333333333,0.416666666666667,0,0.25,0,0,25.63 - 26.43,99.63 - 100.53
1878,4,0.5,0.5,0,0,0,0,25.63 - 26.43,100.53 - 101.42
1880,5,0.2,0.4,0,0.2,0,0.2,25.63 - 26.43,102.32 - 103.22
1881,7,0.142857142857143,0.285714285714286,0,0.285714285714286,0.142857142857143,0.142857142857143,25.63 - 26.43,103.22 - 104.12
1882,4,0.25,0.75,0,0,0,0,25.63 - 26.43,104.12 - 105.02
1883,2,0.5,0,0,0,0.5,0,25.63 - 26.43,105.02 - 105.92
1884,6,0.166666666666667,0,0,0.333333333333333,0.333333333333333,0.166666666666667,25.63 - 26.43,105.92 - 106.81
1885,8,0.5,0.125,0,0,0.375,0,25.63 - 26.43,106.81 - 107.71
1886,2,0.5,0.5,0,0,0,0,25.63 - 26.43,107.71 - 108.61
1887,1,1,0,0,0,0,0,25.63 - 26.43,108.61 - 109.51
1888,6,0.166666666666667,0.166666666666667,0,0,0.5,0.166666666666667,25.63 - 26.43,109.51 - 110.41
1889,4,0.25,0,0,0,0.75,0,25.63 - 26.43,110.41 - 111.31
1890,4,0.25,0,0,0,0.75,0,25.63 - 26.43,111.31 - 112.2
1891,1,1,0,0,0,0,0,25.63 - 26.43,112.2 - 113.1
1892,3,0.333333333333333,0,0,0,0.666666666666667,0,25.63 - 26.43,113.1 - 114
1893,3,0.333333333333333,0,0,0,0.666666666666667,0,25.63 - 26.43,114 - 114.9
1894,2,0,0,0,0,1,0,25.63 - 26.43,114.9 - 115.8
1895,5,0.2,0,0,0,0.6,0.2,25.63 - 26.43,115.8 - 116.7
1896,4,0.25,0,0,0,0.5,0.25,25.63 - 26.43,116.7 - 117.59
1897,4,0.25,0,0,0,0.5,0.25,25.63 - 26.43,117.59 - 118.49
1898,1,0,0,0,0,0,1,25.63 - 26.43,118.49 - 119.39
2256,1,1,0,0,0,0,0,26.43 - 27.23,87.05 - 87.95
2257,2,1,0,0,0,0,0,26.43 - 27.23,87.95 - 88.85
2261,1,1,0,0,0,0,0,26.43 - 27.23,91.54 - 92.44
2268,2,0.5,0.5,0,0,0,0,26.43 - 27.23,97.83 - 98.73
2269,13,0.384615384615385,0.230769230769231,0,0.230769230769231,0.0769230769230769,0.0769230769230769,26.43 - 27.23,98.73 - 99.63
2270,26,0.230769230769231,0.230769230769231,0,0.384615384615385,0.115384615384615,0.0384615384615385,26.43 - 27.23,99.63 - 100.53
2271,4,0.5,0,0,0.25,0,0.25,26.43 - 27.23,100.53 - 101.42
2272,14,0.357142857142857,0.357142857142857,0,0.0714285714285714,0.142857142857143,0.0714285714285714,26.43 - 27.23,101.42 - 102.32
2273,7,0.285714285714286,0.428571428571429,0,0.142857142857143,0.142857142857143,0,26.43 - 27.23,102.32 - 103.22
2275,11,0.0909090909090909,0.454545454545455,0,0.272727272727273,0.181818181818182,0,26.43 - 27.23,104.12 - 105.02
2276,2,1,0,0,0,0,0,26.43 - 27.23,105.02 - 105.92
2277,6,0.166666666666667,0,0,0.166666666666667,0.5,0.166666666666667,26.43 - 27.23,105.92 - 106.81
2278,5,0.2,0.2,0,0.2,0.4,0,26.43 - 27.23,106.81 - 107.71
2279,9,0.555555555555556,0.111111111111111,0,0,0.333333333333333,0,26.43 - 27.23,107.71 - 108.61
2280,3,0.333333333333333,0,0,0,0.666666666666667,0,26.43 - 27.23,108.61 - 109.51
2281,5,0.2,0,0,0,0.6,0.2,26.43 - 27.23,109.51 - 110.41
2282,7,0.142857142857143,0.142857142857143,0,0,0.571428571428571,0.142857142857143,26.43 - 27.23,110.41 - 111.31
2283,5,0.2,0,0,0,0.6,0.2,26.43 - 27.23,111.31 - 112.2
2284,5,0.2,0,0,0,0.6,0.2,26.43 - 27.23,112.2 - 113.1
2285,3,0.333333333333333,0,0,0,0.666666666666667,0,26.43 - 27.23,113.1 - 114
2286,3,0.333333333333333,0,0,0,0.666666666666667,0,26.43 - 27.23,114 - 114.9
2287,4,0.25,0,0,0,0.5,0.25,26.43 - 27.23,114.9 - 115.8
2288,4,0.25,0,0,0,0.5,0.25,26.43 - 27.23,115.8 - 116.7
2289,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667,26.43 - 27.23,116.7 - 117.59
2290,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667,26.43 - 27.23,117.59 - 118.49
2292,2,0,0,0,0,0.5,0.5,26.43 - 27.23,119.39 - 120.29
2648,2,0.5,0.5,0,0,0,0,27.23 - 28.03,86.15 - 87.05
2649,1,1,0,0,0,0,0,27.23 - 28.03,87.05 - 87.95
2650,3,0.333333333333333,0.666666666666667,0,0,0,0,27.23 - 28.03,87.95 - 88.85
2651,6,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,27.23 - 28.03,88.85 - 89.75
2652,3,0.666666666666667,0.333333333333333,0,0,0,0,27.23 - 28.03,89.75 - 90.64
2653,3,0.333333333333333,0.666666666666667,0,0,0,0,27.23 - 28.03,90.64 - 91.54
2654,10,0.5,0.2,0,0.3,0,0,27.23 - 28.03,91.54 - 92.44
2661,13,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,27.23 - 28.03,97.83 - 98.73
2662,2,0,0.5,0,0,0.5,0,27.23 - 28.03,98.73 - 99.63
2663,20,0.3,0.25,0,0.35,0.1,0,27.23 - 28.03,99.63 - 100.53
2664,17,0.235294117647059,0.352941176470588,0,0.235294117647059,0.0588235294117647,0.117647058823529,27.23 - 28.03,100.53 - 101.42
2665,19,0.315789473684211,0.263157894736842,0,0.315789473684211,0.0526315789473684,0.0526315789473684,27.23 - 28.03,101.42 - 102.32
2666,10,0.5,0.4,0,0.1,0,0,27.23 - 28.03,102.32 - 103.22
2667,8,0.375,0.25,0,0.375,0,0,27.23 - 28.03,103.22 - 104.12
2668,3,0.666666666666667,0,0,0.333333333333333,0,0,27.23 - 28.03,104.12 - 105.02
2669,4,0.5,0.5,0,0,0,0,27.23 - 28.03,105.02 - 105.92
2670,1,1,0,0,0,0,0,27.23 - 28.03,105.92 - 106.81
2671,6,0.333333333333333,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,27.23 - 28.03,106.81 - 107.71
2672,4,0.25,0.25,0,0,0.5,0,27.23 - 28.03,107.71 - 108.61
2673,5,0.4,0.4,0,0,0.2,0,27.23 - 28.03,108.61 - 109.51
2674,3,0.333333333333333,0,0,0,0.666666666666667,0,27.23 - 28.03,109.51 - 110.41
2675,1,0,0,0,0,1,0,27.23 - 28.03,110.41 - 111.31
2676,4,0.25,0,0,0,0.5,0.25,27.23 - 28.03,111.31 - 112.2
2677,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667,27.23 - 28.03,112.2 - 113.1
2679,2,0.5,0,0,0,0.5,0,27.23 - 28.03,114 - 114.9
2680,4,0.25,0,0,0,0.5,0.25,27.23 - 28.03,114.9 - 115.8
2681,2,0.5,0,0,0,0.5,0,27.23 - 28.03,115.8 - 116.7
2682,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667,27.23 - 28.03,116.7 - 117.59
2683,5,0.2,0.4,0,0,0.2,0.2,27.23 - 28.03,117.59 - 118.49
2684,5,0.2,0,0,0,0.6,0.2,27.23 - 28.03,118.49 - 119.39
2685,3,0.333333333333333,0,0,0,0.666666666666667,0,27.23 - 28.03,119.39 - 120.29
3038,3,0.333333333333333,0.666666666666667,0,0,0,0,28.03 - 28.82,83.46 - 84.36
3039,2,0.5,0.5,0,0,0,0,28.03 - 28.82,84.36 - 85.25
3040,8,0.375,0.375,0,0.25,0,0,28.03 - 28.82,85.25 - 86.15
3042,4,0.25,0.25,0,0.5,0,0,28.03 - 28.82,87.05 - 87.95
3044,1,0,1,0,0,0,0,28.03 - 28.82,88.85 - 89.75
3046,6,0.166666666666667,0.5,0,0.333333333333333,0,0,28.03 - 28.82,90.64 - 91.54
3048,7,0.285714285714286,0.285714285714286,0,0.428571428571429,0,0,28.03 - 28.82,92.44 - 93.34
3053,5,0,0.6,0,0.4,0,0,28.03 - 28.82,96.93 - 97.83
3054,6,0.333333333333333,0.166666666666667,0,0.166666666666667,0,0.333333333333333,28.03 - 28.82,97.83 - 98.73
3055,14,0.357142857142857,0.285714285714286,0,0.285714285714286,0.0714285714285714,0,28.03 - 28.82,98.73 - 99.63
3056,1,0,1,0,0,0,0,28.03 - 28.82,99.63 - 100.53
3057,9,0.111111111111111,0.333333333333333,0,0.444444444444444,0.111111111111111,0,28.03 - 28.82,100.53 - 101.42
3058,9,0.222222222222222,0.111111111111111,0,0.555555555555556,0,0.111111111111111,28.03 - 28.82,101.42 - 102.32
3059,12,0.25,0.333333333333333,0,0.416666666666667,0,0,28.03 - 28.82,102.32 - 103.22
3060,10,0.4,0.3,0,0.3,0,0,28.03 - 28.82,103.22 - 104.12
3061,7,0.428571428571429,0.285714285714286,0,0.285714285714286,0,0,28.03 - 28.82,104.12 - 105.02
3062,5,0.6,0.2,0,0,0.2,0,28.03 - 28.82,105.02 - 105.92
3063,1,1,0,0,0,0,0,28.03 - 28.82,105.92 - 106.81
3064,3,0.666666666666667,0,0,0,0.333333333333333,0,28.03 - 28.82,106.81 - 107.71
3065,4,0.25,0.25,0,0,0.5,0,28.03 - 28.82,107.71 - 108.61
3066,5,0.2,0.2,0,0,0.6,0,28.03 - 28.82,108.61 - 109.51
3067,6,0.166666666666667,0.166666666666667,0,0.166666666666667,0.5,0,28.03 - 28.82,109.51 - 110.41
3068,2,0.5,0,0,0,0.5,0,28.03 - 28.82,110.41 - 111.31
3070,2,0,0,0,0,0.5,0.5,28.03 - 28.82,112.2 - 113.1
3071,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667,28.03 - 28.82,113.1 - 114
3072,4,0.25,0,0,0,0.5,0.25,28.03 - 28.82,114 - 114.9
3073,4,0.25,0,0,0,0.5,0.25,28.03 - 28.82,114.9 - 115.8
3074,5,0.2,0,0,0.2,0.4,0.2,28.03 - 28.82,115.8 - 116.7
3075,3,0.333333333333333,0,0,0,0.666666666666667,0,28.03 - 28.82,116.7 - 117.59
3076,7,0.142857142857143,0.285714285714286,0,0,0.428571428571429,0.142857142857143,28.03 - 28.82,117.59 - 118.49
3077,5,0.2,0,0,0,0.6,0.2,28.03 - 28.82,118.49 - 119.39
3078,5,0.2,0,0,0,0.8,0,28.03 - 28.82,119.39 - 120.29
3079,3,0.333333333333333,0,0,0,0.666666666666667,0,28.03 - 28.82,120.29 - 121.19
3080,1,0,0,0,0,1,0,28.03 - 28.82,121.19 - 122.09
3426,2,0.5,0.5,0,0,0,0,28.82 - 29.6,78.97 - 79.86
3430,1,0,1,0,0,0,0,28.82 - 29.6,82.56 - 83.46
3431,1,0,1,0,0,0,0,28.82 - 29.6,83.46 - 84.36
3433,6,0.333333333333333,0.5,0,0.166666666666667,0,0,28.82 - 29.6,85.25 - 86.15
3437,4,0.5,0.5,0,0,0,0,28.82 - 29.6,88.85 - 89.75
3439,1,0,0,0,1,0,0,28.82 - 29.6,90.64 - 91.54
3440,9,0.444444444444444,0.111111111111111,0,0.444444444444444,0,0,28.82 - 29.6,91.54 - 92.44
3441,4,0,0.25,0,0.75,0,0,28.82 - 29.6,92.44 - 93.34
3442,9,0.222222222222222,0.222222222222222,0,0.555555555555556,0,0,28.82 - 29.6,93.34 - 94.24
3443,2,0,0.5,0,0.5,0,0,28.82 - 29.6,94.24 - 95.14
3444,6,0.5,0.333333333333333,0,0.166666666666667,0,0,28.82 - 29.6,95.14 - 96.03
3445,1,0,0,0,1,0,0,28.82 - 29.6,96.03 - 96.93
3449,18,0.166666666666667,0.333333333333333,0,0.388888888888889,0.0555555555555556,0.0555555555555556,28.82 - 29.6,99.63 - 100.53
3451,14,0.142857142857143,0.428571428571429,0,0.428571428571429,0,0,28.82 - 29.6,101.42 - 102.32
3452,13,0.230769230769231,0.384615384615385,0,0.230769230769231,0.153846153846154,0,28.82 - 29.6,102.32 - 103.22
3453,16,0.375,0.25,0,0.25,0.0625,0.0625,28.82 - 29.6,103.22 - 104.12
3455,7,0.142857142857143,0.142857142857143,0,0.285714285714286,0.428571428571429,0,28.82 - 29.6,105.02 - 105.92
3456,5,0.6,0.2,0,0,0.2,0,28.82 - 29.6,105.92 - 106.81
3457,19,0.315789473684211,0.263157894736842,0,0.0526315789473684,0.315789473684211,0.0526315789473684,28.82 - 29.6,106.81 - 107.71
3458,10,0.2,0.3,0,0.1,0.4,0,28.82 - 29.6,107.71 - 108.61
3459,12,0.25,0.25,0,0.166666666666667,0.333333333333333,0,28.82 - 29.6,108.61 - 109.51
3460,6,0.166666666666667,0.166666666666667,0,0,0.666666666666667,0,28.82 - 29.6,109.51 - 110.41
3461,7,0.285714285714286,0.142857142857143,0,0,0.571428571428571,0,28.82 - 29.6,110.41 - 111.31
3462,8,0.375,0.25,0,0,0.375,0,28.82 - 29.6,111.31 - 112.2
3463,1,0,0,0,0,1,0,28.82 - 29.6,112.2 - 113.1
3464,3,0.333333333333333,0,0,0,0.666666666666667,0,28.82 - 29.6,113.1 - 114
3465,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667,28.82 - 29.6,114 - 114.9
3466,9,0.111111111111111,0,0,0.111111111111111,0.666666666666667,0.111111111111111,28.82 - 29.6,114.9 - 115.8
3467,9,0.222222222222222,0,0,0,0.666666666666667,0.111111111111111,28.82 - 29.6,115.8 - 116.7
3468,5,0.2,0,0,0,0.6,0.2,28.82 - 29.6,116.7 - 117.59
3469,5,0.2,0,0,0,0.6,0.2,28.82 - 29.6,117.59 - 118.49
3470,6,0.333333333333333,0,0,0,0.5,0.166666666666667,28.82 - 29.6,118.49 - 119.39
3471,3,0,0,0,0,0.666666666666667,0.333333333333333,28.82 - 29.6,119.39 - 120.29
3472,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667,28.82 - 29.6,120.29 - 121.19
3473,1,0,0,0,0,1,0,28.82 - 29.6,121.19 - 122.09
3806,1,0,0,0,1,0,0,29.6 - 30.38,67.29 - 68.19
3820,1,0,1,0,0,0,0,29.6 - 30.38,79.86 - 80.76
3821,1,0,0,0,0,0,1,29.6 - 30.38,80.76 - 81.66
3830,3,0,0,0,1,0,0,29.6 - 30.38,88.85 - 89.75
3832,9,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,29.6 - 30.38,90.64 - 91.54
3833,3,0,0.333333333333333,0,0.666666666666667,0,0,29.6 - 30.38,91.54 - 92.44
3834,6,0,0.5,0,0.5,0,0,29.6 - 30.38,92.44 - 93.34
3836,9,0.333333333333333,0.222222222222222,0,0.444444444444444,0,0,29.6 - 30.38,94.24 - 95.14
3837,11,0.363636363636364,0.272727272727273,0,0.363636363636364,0,0,29.6 - 30.38,95.14 - 96.03
3838,5,0,0.4,0,0.6,0,0,29.6 - 30.38,96.03 - 96.93
3840,7,0.142857142857143,0.428571428571429,0,0.428571428571429,0,0,29.6 - 30.38,97.83 - 98.73
3841,5,0,0.4,0,0.6,0,0,29.6 - 30.38,98.73 - 99.63
3842,10,0.2,0.4,0,0.4,0,0,29.6 - 30.38,99.63 - 100.53
3843,11,0.181818181818182,0.272727272727273,0,0.272727272727273,0.272727272727273,0,29.6 - 30.38,100.53 - 101.42
3844,21,0.285714285714286,0.333333333333333,0,0.380952380952381,0,0,29.6 - 30.38,101.42 - 102.32
3845,21,0.285714285714286,0.333333333333333,0,0.238095238095238,0.142857142857143,0,29.6 - 30.38,102.32 - 103.22
3846,7,0.428571428571429,0.571428571428571,0,0,0,0,29.6 - 30.38,103.22 - 104.12
3849,6,0.333333333333333,0.166666666666667,0,0.166666666666667,0.333333333333333,0,29.6 - 30.38,105.92 - 106.81
3850,2,0.5,0,0,0,0.5,0,29.6 - 30.38,106.81 - 107.71
3851,7,0.428571428571429,0.285714285714286,0,0,0.285714285714286,0,29.6 - 30.38,107.71 - 108.61
3852,11,0.363636363636364,0.363636363636364,0,0,0.181818181818182,0.0909090909090909,29.6 - 30.38,108.61 - 109.51
3853,4,0.25,0.25,0,0,0.5,0,29.6 - 30.38,109.51 - 110.41
3854,9,0.222222222222222,0.333333333333333,0,0.111111111111111,0.333333333333333,0,29.6 - 30.38,110.41 - 111.31
3857,1,1,0,0,0,0,0,29.6 - 30.38,113.1 - 114
3858,6,0.166666666666667,0.166666666666667,0,0,0.5,0.166666666666667,29.6 - 30.38,114 - 114.9
3859,5,0.2,0,0,0,0.8,0,29.6 - 30.38,114.9 - 115.8
3860,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667,29.6 - 30.38,115.8 - 116.7
3861,4,0.25,0,0,0,0.75,0,29.6 - 30.38,116.7 - 117.59
3862,10,0.3,0,0,0,0.6,0.1,29.6 - 30.38,117.59 - 118.49
3863,5,0.2,0,0,0,0.8,0,29.6 - 30.38,118.49 - 119.39
3864,8,0.25,0,0,0,0.625,0.125,29.6 - 30.38,119.39 - 120.29
3865,1,0,0,0,0,1,0,29.6 - 30.38,120.29 - 121.19
3866,1,0,0,0,0,1,0,29.6 - 30.38,121.19 - 122.09
3867,3,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,29.6 - 30.38,122.09 - 122.98
4210,1,0,1,0,0,0,0,30.38 - 31.15,77.17 - 78.07
4212,1,1,0,0,0,0,0,30.38 - 31.15,78.97 - 79.86
4225,1,0,0,0,1,0,0,30.38 - 31.15,90.64 - 91.54
4230,2,0,0,0,1,0,0,30.38 - 31.15,95.14 - 96.03
4232,8,0.125,0.375,0,0.5,0,0,30.38 - 31.15,96.93 - 97.83
4233,2,0,0,0,1,0,0,30.38 - 31.15,97.83 - 98.73
4234,3,0,0.666666666666667,0,0.333333333333333,0,0,30.38 - 31.15,98.73 - 99.63
4235,8,0.125,0.5,0,0.375,0,0,30.38 - 31.15,99.63 - 100.53
4236,11,0.181818181818182,0.272727272727273,0,0.454545454545455,0,0.0909090909090909,30.38 - 31.15,100.53 - 101.42
4237,5,0.2,0.2,0,0.6,0,0,30.38 - 31.15,101.42 - 102.32
4238,14,0.285714285714286,0.357142857142857,0,0.285714285714286,0.0714285714285714,0,30.38 - 31.15,102.32 - 103.22
4239,18,0.222222222222222,0.444444444444444,0,0.222222222222222,0.111111111111111,0,30.38 - 31.15,103.22 - 104.12
4240,8,0.375,0.5,0,0,0.125,0,30.38 - 31.15,104.12 - 105.02
4241,1,1,0,0,0,0,0,30.38 - 31.15,105.02 - 105.92
4243,1,1,0,0,0,0,0,30.38 - 31.15,106.81 - 107.71
4245,10,0.3,0.3,0,0.1,0.3,0,30.38 - 31.15,108.61 - 109.51
4246,16,0.3125,0.375,0,0.0625,0.25,0,30.38 - 31.15,109.51 - 110.41
4247,3,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,30.38 - 31.15,110.41 - 111.31
4248,1,0,1,0,0,0,0,30.38 - 31.15,111.31 - 112.2
4249,2,0.5,0,0,0,0,0.5,30.38 - 31.15,112.2 - 113.1
4250,1,0,0,0,0,1,0,30.38 - 31.15,113.1 - 114
4251,1,1,0,0,0,0,0,30.38 - 31.15,114 - 114.9
4252,8,0.375,0.125,0,0,0.375,0.125,30.38 - 31.15,114.9 - 115.8
4253,4,0.25,0,0,0,0.75,0,30.38 - 31.15,115.8 - 116.7
4254,2,0.5,0,0,0,0.5,0,30.38 - 31.15,116.7 - 117.59
4255,4,0.25,0,0,0,0.5,0.25,30.38 - 31.15,117.59 - 118.49
4256,2,0,0,0,0,1,0,30.38 - 31.15,118.49 - 119.39
4257,7,0.142857142857143,0,0,0,0.714285714285714,0.142857142857143,30.38 - 31.15,119.39 - 120.29
4259,1,0,0,0,0,1,0,30.38 - 31.15,121.19 - 122.09
4603,1,1,0,0,0,0,0,31.15 - 31.92,77.17 - 78.07
4621,3,0,0,0,1,0,0,31.15 - 31.92,93.34 - 94.24
4623,1,0,0,0,1,0,0,31.15 - 31.92,95.14 - 96.03
4624,4,0,0.25,0,0.75,0,0,31.15 - 31.92,96.03 - 96.93
4626,7,0,0.571428571428571,0,0.428571428571429,0,0,31.15 - 31.92,97.83 - 98.73
4627,3,0,0,0,1,0,0,31.15 - 31.92,98.73 - 99.63
4628,4,0.25,0.25,0,0.5,0,0,31.15 - 31.92,99.63 - 100.53
4629,9,0.222222222222222,0.111111111111111,0,0.444444444444444,0.111111111111111,0.111111111111111,31.15 - 31.92,100.53 - 101.42
4630,16,0.1875,0.375,0,0.375,0.0625,0,31.15 - 31.92,101.42 - 102.32
4631,14,0.214285714285714,0.214285714285714,0,0.357142857142857,0.214285714285714,0,31.15 - 31.92,102.32 - 103.22
4632,18,0.166666666666667,0.444444444444444,0,0.222222222222222,0.166666666666667,0,31.15 - 31.92,103.22 - 104.12
4633,10,0.2,0.3,0,0.3,0.2,0,31.15 - 31.92,104.12 - 105.02
4634,5,0.6,0.4,0,0,0,0,31.15 - 31.92,105.02 - 105.92
4635,1,1,0,0,0,0,0,31.15 - 31.92,105.92 - 106.81
4636,6,0.333333333333333,0,0,0.166666666666667,0.5,0,31.15 - 31.92,106.81 - 107.71
